Player,Destination Club,Origin Club,Fee Text,Transfer Fee (EUR)
Mason MountM. Mount,Manchester United,Unknown,€64.20m,6420000000.0
André OnanaA. Onana,Manchester United,Unknown,€50.20m,5020000000.0
Altay BayındırA. Bayındır,Manchester United,Unknown,€5.00m,500000000.0
Jonny EvansJ. Evans,Manchester United,Unknown,free transfer,0.0
Sandro TonaliS. Tonali,Newcastle United,Unknown,€58.90m,5890000000.0
Harvey BarnesH. Barnes,Newcastle United,Unknown,€44.00m,4400000000.0
Tino LivramentoT. Livramento,Newcastle United,Unknown,€37.20m,3720000000.0
Yankuba MintehY. Minteh,Newcastle United,Unknown,€8.00m,800000000.0
Ibrahim SangaréI. Sangaré,Nottingham Forest,Unknown,€35.00m,3500000000.0
Anthony ElangaA. Elanga,Nottingham Forest,Unknown,€17.50m,1750000000.0
Chris WoodC. Wood,Nottingham Forest,Unknown,€17.00m,1700000000.0
Andrew OmobamideleA. Omobamidele,Nottingham Forest,Unknown,€12.85m,1285000000.0
MurilloMurillo,Nottingham Forest,Unknown,€12.00m,1200000000.0
Matt TurnerM. Turner,Nottingham Forest,Unknown,€8.15m,815000000.0
Nicolás DomínguezN. Domínguez,Nottingham Forest,Unknown,€6.65m,665000000.0
Odysseas VlachodimosO. Vlachodimos,Nottingham Forest,Unknown,€4.90m,490000000.0
Callum Hudson-OdoiC. Hudson-Odoi,Nottingham Forest,Unknown,€3.50m,350000000.0
Ola AinaOla Aina,Nottingham Forest,Unknown,free transfer,0.0
Cameron ArcherC. Archer,Sheffield United,Unknown,€21.55m,2155000000.0
Gustavo HamerG. Hamer,Sheffield United,Unknown,€17.30m,1730000000.0
Vini SouzaV. Souza,Sheffield United,Unknown,€12.50m,1250000000.0
Auston TrustyA. Trusty,Sheffield United,Unknown,€5.80m,580000000.0
Bénie TraoréB. Traoré,Sheffield United,Unknown,€4.60m,460000000.0
Anis SlimaneA. Slimane,Sheffield United,Unknown,€2.70m,270000000.0
Tom DaviesT. Davies,Sheffield United,Unknown,free transfer,0.0
Brennan JohnsonB. Johnson,Tottenham Hotspur,Unknown,€55.00m,5500000000.0
James MaddisonJ. Maddison,Tottenham Hotspur,Unknown,€46.30m,4630000000.0
Pedro PorroP. Porro,Tottenham Hotspur,Unknown,€40.00m,4000000000.0
Micky van de VenM. van de Ven,Tottenham Hotspur,Unknown,€40.00m,4000000000.0
Dejan KulusevskiD. Kulusevski,Tottenham Hotspur,Unknown,€30.00m,3000000000.0
Guglielmo VicarioG. Vicario,Tottenham Hotspur,Unknown,€18.50m,1850000000.0
Alejo VelizA. Veliz,Tottenham Hotspur,Unknown,€15.00m,1500000000.0
Ashley PhillipsA. Phillips,Tottenham Hotspur,Unknown,€2.30m,230000000.0
Manor SolomonM. Solomon,Tottenham Hotspur,Unknown,free transfer,0.0
Mohammed KudusM. Kudus,West Ham United,Unknown,€43.00m,4300000000.0
