Player,Destination Club,Pos,Age,Transfer Fee (EUR),MP,Min,Gls,Ast,G_A,G_A_per90,xG_per90,xAG_per90,PrgC_per90,PrgP_per90,PrgR_per90
Nathan RedmondN. Redmond,Burnley FC,FW,29.0,0.0,12.0,142.0,0.0,0.0,0.0,0.0,0.0,0.19014084507042253,4.436619718309859,5.070422535211268,13.943661971830986
Moisés CaicedoM. Caicedo,Chelsea FC,MF,21.0,11600000000.0,35.0,2866.0,1.0,3.0,4.0,0.1256106071179344,0.01256106071179344,0.08164689462665736,0.8478715980460572,5.432658757850663,0.8478715980460572
Roméo LaviaR. Lavia,Chelsea FC,MF,19.0,6210000000.0,1.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7272727272727275,0.0
Christopher NkunkuC. Nkunku,Chelsea FC,FW,25.0,6000000000.0,11.0,443.0,3.0,0.0,3.0,0.6094808126410834,0.46726862302483063,0.040632054176072234,2.0316027088036117,3.860045146726862,7.1106094808126405
Cole PalmerC. Palmer,Chelsea FC,FW,21.0,4700000000.0,33.0,2607.0,22.0,11.0,33.0,1.139240506329114,0.6283084004602992,0.3831990794016111,4.039125431530495,6.800920598388953,6.731875719217491
Axel DisasiA. Disasi,Chelsea FC,DF,25.0,4500000000.0,31.0,2579.0,2.0,0.0,2.0,0.06979449398991858,0.08375339278790228,0.010469174098487785,1.0469174098487786,3.90849166343544,0.732842186894145
Nicolas JacksonN. Jackson,Chelsea FC,FW,22.0,3700000000.0,35.0,2799.0,14.0,5.0,19.0,0.6109324758842444,0.5980707395498392,0.13826366559485528,2.2508038585209,2.1543408360128615,6.430868167202572
Lesley UgochukwuL. Ugochukwu,Chelsea FC,MF,19.0,2700000000.0,12.0,301.0,0.0,0.0,0.0,0.0,0.0,0.029900332225913623,2.39202657807309,5.083056478405315,0.8970099667774086
Deivid WashingtonDeivid Washington,Chelsea FC,DF,18.0,1600000000.0,2.0,13.0,0.0,0.0,0.0,0.0,3.4615384615384617,0.0,0.0,0.0,6.923076923076923
Matheus FrançaMatheus França,Crystal Palace,MF,19.0,2000000000.0,10.0,232.0,0.0,1.0,1.0,0.3879310344827586,0.15517241379310345,0.34913793103448276,4.655172413793103,3.103448275862069,4.655172413793103
